"","Type","Subpopulation","Indicator","nResp","Estimate","StdError","MarginofError","LCB95Pct","UCB95Pct"
"1","BASIN","1","MMDH_BIO_ASMT_PROFILE_SCORE",9,5.73309987824067,0.377076744324967,0.739056838284553,4.99404303995611,6.47215671652522
"2","BASIN","2","MMDH_BIO_ASMT_PROFILE_SCORE",17,6.88831314380395,0.389379755589229,0.763170297263898,6.12514284654005,7.65148344106784
"3","BASIN","3","MMDH_BIO_ASMT_PROFILE_SCORE",2,6.37493623249727,0.318897520957375,0.625027655835561,5.74990857666171,6.99996388833283
"4","BASIN","4","MMDH_BIO_ASMT_PROFILE_SCORE",6,5.10423392867431,0.341129937285053,0.668602391127111,4.4356315375472,5.77283631980143
"5","BASIN","5","MMDH_BIO_ASMT_PROFILE_SCORE",14,6.9264206015347,0.310626866463684,0.608817470899354,6.31760313063535,7.53523807243406
"6","BASIN","6","MMDH_BIO_ASMT_PROFILE_SCORE",45,7.25218435079051,0.246452287977478,0.483037608343351,6.76914674244716,7.73522195913386
"7","BASIN","7","MMDH_BIO_ASMT_PROFILE_SCORE",18,6.32762740210316,0.538105050739307,1.05466651934814,5.27296088275502,7.3822939214513
"8","BASIN","8","MMDH_BIO_ASMT_PROFILE_SCORE",15,7.35121267916975,0.454327422691485,0.890465385664216,6.46074729350554,8.24167806483397
"9","BASIN","9","MMDH_BIO_ASMT_PROFILE_SCORE",6,3.75763634890656,0.634390040079822,1.24338163070737,2.51425471819919,5.00101797961393
"10","BASIN","10","MMDH_BIO_ASMT_PROFILE_SCORE",38,6.54679414903683,0.337939444100885,0.662349139393221,5.88444500964361,7.20914328843005
"11","BASIN","11","MMDH_BIO_ASMT_PROFILE_SCORE",6,6.797372792987,0.287872214973566,0.564219173497961,6.23315361948904,7.36159196648496
"12","BASIN","12","MMDH_BIO_ASMT_PROFILE_SCORE",11,7.47815143811698,0.189326836105324,0.371073780073353,7.10707765804362,7.84922521819033
"13","BASIN","13","MMDH_BIO_ASMT_PROFILE_SCORE",27,6.30929324631025,0.231296467477537,0.453332746007313,5.85596050030293,6.76262599231756
"14","BASIN","14","MMDH_BIO_ASMT_PROFILE_SCORE",1,6.06,0,0,6.06,6.06
"15","BASIN","17","MMDH_BIO_ASMT_PROFILE_SCORE",12,5.42603468513872,0.781861694267431,1.53242076165563,3.89361392348309,6.95845544679435
