"","SMAS_ID","COMID","YEAR","LAT","LONG","NOTES","MILES","BASIN","RECENT_SAMPLE_DATE","PREVIOUS_SAMPLE_DATE_1","PREVIOUS_SAMPLE_DATE_2","PREVIOUS_SAMPLE_DATE_3","PREVIOUS_SAMPLE_DATE_4","PREVIOUS_SAMPLE_DATE_5","PREVIOUS_SAMPLE_DATE_6","PREVIOUS_SAMPLE_DATE_7","X17","X1","wgt","start","end","matching"
"1","05-BAKE-0.3",8110563,2022,42.264939,-77.547768,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,150,469.453749,"2018","2022","05-BAKE-0.3_8110563_2022_2018"
"2","05-BWIN-9.5",8117937,2022,42.127712,-76.704839,NA,0,NA,"9/1/2022",NA,NA,NA,NA,NA,NA,NA,NA,143,144.565574,"2018","2022","05-BWIN-9.5_8117937_2022_2018"
"3","05-CAMP- 1.5",8118893,2022,42.358295,-77.390199,"Probabilistic/department interest",0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,157,144.565574,"2018","2022","05-CAMP- 1.5_8118893_2022_2018"
"4","05-COHO_T1-0.1",8117117,2022,42.563225,-77.510048,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,149,144.565574,"2018","2022","05-COHO_T1-0.1_8117117_2022_2018"
"5","05-COHO-28.6",8118867,2022,42.411703,-77.426762,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,142,125.782515,"2018","2022","05-COHO-28.6_8118867_2022_2018"
"6","05-COHO-4.0",8119059,2022,42.18395,-77.15182,"Probabilistic/department interest",0,NA,"8/30/2022",NA,NA,NA,NA,NA,NA,NA,NA,158,125.782515,"2018","2022","05-COHO-4.0_8119059_2022_2018"
"7","05-CRAN-0.1",8110619,2022,42.187154,-77.317665,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,144,469.453749,"2018","2022","05-CRAN-0.1_8110619_2022_2018"
"8","05-CRSB-0.2",8110539,2022,42.313588,-77.657531,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,153,469.453749,"2018","2022","05-CRSB-0.2_8110539_2022_2018"
"9","05-DIVN_T1-0.4",8117925,2022,42.122616,-76.811108,NA,0,NA,"9/1/2022",NA,NA,NA,NA,NA,NA,NA,NA,151,144.565574,"2018","2022","05-DIVN_T1-0.4_8117925_2022_2018"
"10","05-DRYW-1.4",8118259,2022,42.022302,-76.588967,NA,0,NA,"9/1/2022",NA,NA,NA,NA,NA,NA,NA,NA,141,144.565574,"2018","2022","05-DRYW-1.4_8118259_2022_2018"
