"","COMID","wgt","adj_wgt","draw_year"
"1",9049187,131.644461,374.959133075782,"2018_2022"
"2",15444705,511.964212,2344.22774387586,"2018_2022"
"3",8969146,131.644461,374.959133075782,"2018_2022"
"4",8968896,131.644461,374.959133075782,"2018_2022"
"5",15445101,131.644461,0,"2018_2022"
"6",15445033,121.697539,460.696801213547,"2018_2022"
"7",15444707,511.964212,2344.22774387586,"2018_2022"
"8",8969210,121.697539,0,"2018_2022"
"9",9049121,511.964212,0,"2018_2022"
"10",8968962,121.697539,460.696801213547,"2018_2022"
"11",8970380,139.42735,409.009666568732,"2018_2022"
"12",8969726,511.964212,0,"2018_2022"
"13",15444849,511.964212,2344.22774387586,"2018_2022"
"14",8969544,131.644461,374.959133075782,"2018_2022"
"15",8968570,139.42735,409.009666568732,"2018_2022"
"16",8969978,121.697539,460.696801213547,"2018_2022"
"17",15444961,121.697539,460.696801213547,"2018_2022"
"18",8969082,121.697539,0,"2018_2022"
"19",8969728,131.644461,0,"2018_2022"
"20",8969150,121.697539,0,"2018_2022"
"21",15444791,511.964212,0,"2018_2022"
"22",8968838,139.42735,0,"2018_2022"
"23",8969324,131.644461,0,"2018_2022"
"24",8969906,121.697539,0,"2018_2022"
"25",15444861,131.644461,0,"2018_2022"
"26",15444931,121.697539,0,"2018_2022"
"27",8968772,121.697539,0,"2018_2022"
"28",8969410,139.42735,0,"2018_2022"
"29",15445111,511.964212,0,"2018_2022"
"30",15444921,511.964212,0,"2018_2022"
"31",15445067,139.42735,0,"2018_2022"
"32",8969440,131.644461,0,"2018_2022"
"33",15444945,131.644461,0,"2018_2022"
"34",8969732,121.697539,0,"2018_2022"
"35",8968670,131.644461,0,"2018_2022"
"36",8968868,139.42735,0,"2018_2022"
"37",8969248,131.644461,0,"2018_2022"
"38",8969946,121.697539,0,"2018_2022"
"39",15445073,139.42735,0,"2018_2022"
"40",8969554,121.697539,0,"2018_2022"
"41",15445123,131.644461,0,"2018_2022"
"42",15444403,139.42735,0,"2018_2022"
"43",15444915,139.42735,0,"2018_2022"
"44",9049199,139.42735,0,"2018_2022"
"45",15444827,511.964212,0,"2018_2022"
"46",8968812,139.42735,0,"2018_2022"
"47",15445081,131.644461,0,"2018_2022"
"48",15444473,139.42735,0,"2018_2022"
"49",8969036,121.697539,0,"2018_2022"
"50",8969422,511.964212,0,"2018_2022"
"51",9498846,41.563091,0,"2018_2022"
"52",9498328,200.153314,0,"2018_2022"
"53",7732091,200.153314,916.479981822432,"2018_2022"
"54",7737521,3.019247,0,"2018_2022"
"55",26432070,41.563091,0,"2018_2022"
"56",9499628,200.153314,916.479981822432,"2018_2022"
"57",6240357,36.079334,102.76372963836,"2018_2022"
"58",6241851,41.563091,0,"2018_2022"
"59",9496316,200.153314,0,"2018_2022"
"60",9496458,200.153314,0,"2018_2022"
"61",6240225,36.079334,102.76372963836,"2018_2022"
"62",9496098,200.153314,916.479981822432,"2018_2022"
"63",7732055,41.563091,0,"2018_2022"
"64",9509664,200.153314,0,"2018_2022"
"65",9498518,200.153314,0,"2018_2022"
"66",7733341,3.019247,0,"2018_2022"
"67",9509178,41.563091,0,"2018_2022"
