FID,Shape,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,status,COMID,LongitudeDD,LatitudeDD,GNIS_NAME,FDATE,RESOLUTION,GNIS_ID,LENGTHKM,REACHCODE,FLOWDIR,FCODE,FTYPE,DES_FTYPE,STATE,MAJ_RIVER,MAJ_RIV_NM,NRSA_NAME,HUC8,SO,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,WSA_9,WSA_9_NM,WSA_3,FEAT_NAME,OWNER,OWNER_CAT,OWNER_ADM,OWNER_CAT2,URBAN,FRAME14,sort_id,PSTL_CODE,STRAH_CAT,DES_CAT,DES_NRSA14,Basin
0,Point,NY18-1001,1332634.097,626473.1299,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to existing site < 2 miles away,TS,9049187,-79.705022,42.069869,French Creek,8/1/2004,Medium,950689,8.290878,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,French Creek,5010004,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49898,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
1,Point,NY18-1002,1368986.481,673335.2724,1st,511.964212,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to road crossing,TS,15444705,-79.169149,42.426207, ,8/1/2004,Medium, ,3.625214,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50025,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
2,Point,NY18-1003,1396347.794,645901.1622,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts,TS,8969146,-78.899965,42.141322,Cold Spring Creek,8/1/2004,Medium,947071,0.93124,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cold Spring Creek,5010001,3,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49351,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
3,Point,NY18-1004,1445264.645,662383.0925,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to road crossing,TS,8968896,-78.277248,42.20654,Griffin Creek,8/1/2004,Medium,951818,2.914179,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Griffin Creek,5010001,3,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49218,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
4,Point,NY18-1005,1368166.824,643420.6327,3rd,131.644461,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to existing site,PB,15445101,-79.243195,42.164141,Cassadaga Creek,8/1/2004,Medium,945972,9.912136,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cassadaga Creek,5010002,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50217,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
5,Point,NY18-1006,1378549.103,628243.7912,4th+,121.697539,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to road crossing,TS,15445033,-79.151291,42.014242,Conewango Creek,8/1/2004,Medium,1210156,4.608434,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Conewango Creek,5010002,5,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50191,NY,Rivers,RiversOther,RiversOther,Allegheny_River
6,Point,NY18-1007,1380460.081,674508.0992,1st,511.964212,Allegheny_River_NRSA14_ST,Base,NotEval,"ts-moved to road crossing, above marsh area",TS,15444707,-79.028508,42.418377, ,8/1/2004,Medium, ,7.242401,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50026,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
7,Point,NY18-1008,1435642.272,650070.4523,4th+,121.697539,Allegheny_River_NRSA14_ST,Base,NotEval,ts-moved to existing site,PB,8969210,-78.42017,42.114232,Olean Creek,8/1/2004,Medium,959339,1.410436,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Olean Creek,5010001,5,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49379,NY,Rivers,RiversOther,RiversOther,Allegheny_River
8,Point,NY18-1009,1342938.282,637694.9748,1st,511.964212,Allegheny_River_NRSA14_ST,Base,NotEval,"ts-moved to road crossing <2 miles away, no tribs",PB,9049121,-79.558008,42.152927, ,8/1/2004,Medium, ,5.768119,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010004,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49872,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
9,Point,NY18-1010,1414878.369,655993.2091,4th+,121.697539,Allegheny_River_NRSA14_ST,Base,NotEval,"ts-moved to road crossing, above marsh area",TS,8968962,-78.655695,42.200219,Great Valley Creek,8/1/2004,Medium,951653,1.554935,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Great Valley Creek,5010001,4,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49252,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
10,Point,NY18-1011,1344813.499,621047.0218,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts-could be a marsh,TS,8970380,-79.570392,42.003423,Brokenstraw Creek,8/1/2004,Medium,1192191,1.063318,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Brokenstraw Creek,5010001,2,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49750,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
11,Point,NY18-1012,1428257.33,655573.0494,1st,511.964212,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts,PB,8969726,-78.496294,42.174714, ,8/1/2004,Medium, ,3.689032,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010001,1,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49623,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
12,Point,NY18-1013,1371851.118,651976.1472,1st,511.964212,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts-moved to road,TS,15444849,-79.180653,42.233662,Twentyeighth Creek,8/1/2004,Medium,968025,6.740628,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Twentyeighth Creek,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50098,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
13,Point,NY18-1014,1403444.045,633307.0868,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts-moved to existing site,TS,8969544,-78.84248,42.019177,Quaker Run,8/1/2004,Medium,962056,2.880678,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Quaker Run,5010001,3,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49546,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
14,Point,NY18-1015,1428053.385,678527.1568,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts-moved to road,TS,8968570,-78.447366,42.376836,Johnson Creek,8/1/2004,Medium,954115,3.639741,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Johnson Creek,5010001,2,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49035,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
15,Point,NY18-1016,1418501.4,643619.0123,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts-moved to existing site,TS,8969978,-78.639667,42.085537,Allegheny River,8/1/2004,Medium,1209386,2.753576,5.01E+12,With Digitized,55800,ArtificialPath,ArtificialPathStreamPer,NY,Additional,Allegheny River,Allegheny River,5010001,6,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,Tribal Land - US Census, , , ,NonUrban,NRSA14_ST,51736,NY,Rivers,RiversMajor,RiversMajor,Allegheny_River
16,Point,NY18-1017,1377474.701,636708.2758,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval,ts-moved to existing site,TS,15444961,-79.145993,42.090423,Cassadaga Creek,8/1/2004,Medium,945972,12.93712,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cassadaga Creek,5010002,4,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50152,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
17,Point,NY18-1018,1436370.899,654288.8518,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969082,-78.401993,42.150105,Olean Creek,8/1/2004,Medium,959339,1.305082,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Olean Creek,5010001,5,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,Urban,NRSA14_ST,60630,NY,Rivers,RiversOther,RiversOther,Allegheny_River
18,Point,NY18-1019,1408274.525,651565.3846,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969728,-78.744623,42.171971,Little Valley Creek,8/1/2004,Medium,955721,0.232601,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Little Valley Creek,5010001,3,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,Urban,NRSA14_ST,60662,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
19,Point,NY18-1020,1436220.189,652275.9342,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969150,-78.408311,42.132663,Olean Creek,8/1/2004,Medium,959339,2.711372,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Olean Creek,5010001,5,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,Urban,NRSA14_ST,60635,NY,Rivers,RiversOther,RiversOther,Allegheny_River
20,Point,NY18-1021,1353840.911,656758.3809,1st,511.964212,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15444791,-79.386821,42.303951,Flag Creek,8/1/2004,Medium,950219,3.762584,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Flag Creek,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50069,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
21,Point,NY18-1022,1401474.444,659930.4662,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8968838,-78.807794,42.256506,Little Valley Creek,8/1/2004,Medium,955721,2.738887,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Little Valley Creek,5010001,2,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49185,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
22,Point,NY18-1023,1457034.466,650015.2627,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969324,-78.164407,42.078315,Little Genesee Creek,8/1/2004,Medium,955541,2.002063,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Little Genesee Creek,5010001,3,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49432,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
23,Point,NY18-1024,1424906.612,646839.7823,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969906,-78.555866,42.103423,Allegheny River,8/1/2004,Medium,1209386,2.441488,5.01E+12,With Digitized,55800,ArtificialPath,ArtificialPathStreamPer,NY,Additional,Allegheny River,Allegheny River,5010001,6,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49687,NY,Rivers,RiversMajor,RiversMajor,Allegheny_River
24,Point,NY18-1025,1363554.016,648780.449,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15444861,-79.287106,42.218551,Cassadaga Creek,8/1/2004,Medium,945972,1.633403,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cassadaga Creek,5010002,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50104,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
25,Point,NY18-1026,1381180.337,645657.4719,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15444931,-79.082315,42.163321,Conewango Creek,8/1/2004,Medium,1210156,6.564684,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Conewango Creek,5010002,4,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50135,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
26,Point,NY18-1027,1430822.024,666568.4977,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8968772,-78.440956,42.26716,Johnson Creek,8/1/2004,Medium,954115,1.252403,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Johnson Creek,5010001,4,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49149,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
27,Point,NY18-1028,1424307.325,641282.986,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969410,-78.575373,42.055555,Chipmunk Creek,8/1/2004,Medium,946591,1.081626,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Chipmunk Creek,5010001,2,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49474,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
28,Point,NY18-1029,1365821.339,638545.1617,1st,511.964212,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15445111,-79.281729,42.124898, ,8/1/2004,Medium, ,1.640475,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,Urban,NRSA14_ST,60695,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
29,Point,NY18-1030,1376974.045,644722.1285,1st,511.964212,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15444921,-79.134771,42.161739,Dry Brook,8/1/2004,Medium,948681,5.603303,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Dry Brook,5010002,1,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50130,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
30,Point,NY18-1031,1384423.558,655910.2492,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15445067,-79.021228,42.2484,Mill Creek,8/1/2004,Medium,957223,3.233,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Mill Creek,5010002,2,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50199,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
31,Point,NY18-1032,1455299.176,645331.5522,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969440,-78.19577,42.040068,Little Genesee Creek,8/1/2004,Medium,955541,3.138702,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Little Genesee Creek,5010001,3,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49491,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
32,Point,NY18-1033,1373280.001,639835.2858,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15444945,-79.189554,42.124551,Chadakoin River,8/1/2004,Medium,946334,1.600759,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Chadakoin River,5010002,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50142,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
33,Point,NY18-1034,1412925.188,651908.2066,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969732,-78.688133,42.167465,Wrights Creek,8/1/2004,Medium,971763,1.070724,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Wrights Creek,5010001,4,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49628,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
34,Point,NY18-1035,1416086.613,669278.9822,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8968670,-78.611743,42.315083,Great Valley Creek,8/1/2004,Medium,951653,1.730543,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Great Valley Creek,5010001,3,60e,Glaciated Allegheny Hills,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49090,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
35,Point,NY18-1036,1424562.099,660434.2234,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8968868,-78.529737,42.223493,Wrights Creek,8/1/2004,Medium,971763,1.245048,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Wrights Creek,5010001,2,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49201,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
36,Point,NY18-1037,1397971.358,643425.2506,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969248,-78.88591,42.116944,Cold Spring Creek,8/1/2004,Medium,947071,2.465633,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cold Spring Creek,5010001,3,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,Tribal Land - US Census, , , ,NonUrban,NRSA14_ST,51678,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
37,Point,NY18-1038,1432619.854,644001.337,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969946,-78.469899,42.065857,Allegheny River,8/1/2004,Medium,1209386,3.805001,5.01E+12,With Digitized,55800,ArtificialPath,ArtificialPathStreamPer,NY,Additional,Allegheny River,Allegheny River,5010001,6,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,Urban,NRSA14_ST,63428,NY,Rivers,RiversMajor,RiversMajor,Allegheny_River
38,Point,NY18-1039,1381349.029,654691.4079,2nd,139.42735,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15445073,-79.060776,42.242555, ,8/1/2004,Medium, ,2.80555,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,5010002,2,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50203,NY,SmallStreams,StreamsSmall,SmallStreams,Allegheny_River
39,Point,NY18-1040,1445979.508,639185.1126,4th+,121.697539,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,8969554,-78.320993,42.001539,Oswayo Creek,8/1/2004,Medium,959522,0.911106,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Oswayo Creek,5010001,4,62d,Unglaciated High Allegheny Plateau,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,49551,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
40,Point,NY18-1041,1368757.069,628847.954,3rd,131.644461,Allegheny_River_NRSA14_ST,OverSamp,NotEval, ,NN,15445123,-79.267216,42.034945,Stillwater Creek,8/1/2004,Medium,1188679,6.822796,5.01E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Stillwater Creek,5010002,3,61c,Low Lime Drift Plain,61,Erie Drift Plain,8.1.10,Erie Drift Plain,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,50230,NY,LargeStreams,StreamsLarge,LargeStreams,Allegheny_River
